Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
224,13811,00:09:44.134,584.134,13845,00:09:45.614,585.614,35,00:00:01.480,1.480
225,13846,00:09:45.614,585.614,13893,00:09:47.644,587.644,48,00:00:02.030,2.030
226,13894,00:09:47.644,587.644,13964,00:09:50.647,590.647,71,00:00:03.003,3.003
227,13965,00:09:50.647,590.647,14086,00:09:55.808,595.808,122,00:00:05.160,5.160
228,14087,00:09:55.808,595.808,14129,00:09:57.627,597.627,43,00:00:01.819,1.819
229,14130,00:09:57.627,597.627,14145,00:09:58.303,598.303,16,00:00:00.677,0.677
230,14146,00:09:58.303,598.303,14152,00:09:58.599,598.599,7,00:00:00.296,0.296
231,14153,00:09:58.599,598.599,14165,00:09:59.149,599.149,13,00:00:00.550,0.550
232,14166,00:09:59.149,599.149,14174,00:09:59.530,599.530,9,00:00:00.381,0.381
233,14175,00:09:59.530,599.530,14209,00:10:01.010,601.010,35,00:00:01.480,1.480
234,14210,00:10:01.010,601.010,14218,00:10:01.391,601.391,9,00:00:00.381,0.381
235,14219,00:10:01.391,601.391,14248,00:10:02.660,602.660,30,00:00:01.269,1.269
236,14249,00:10:02.660,602.660,14262,00:10:03.252,603.252,14,00:00:00.592,0.592
237,14263,00:10:03.252,603.252,14372,00:10:07.905,607.905,110,00:00:04.653,4.653
238,14373,00:10:07.905,607.905,14507,00:10:13.615,613.615,135,00:00:05.710,5.710
239,14508,00:10:13.615,613.615,14569,00:10:16.238,616.238,62,00:00:02.622,2.622
240,14570,00:10:16.238,616.238,14627,00:10:18.691,618.691,58,00:00:02.453,2.453
241,14628,00:10:18.691,618.691,14800,00:10:26.008,626.008,173,00:00:07.318,7.318
242,14801,00:10:26.008,626.008,14827,00:10:27.151,627.151,27,00:00:01.142,1.142
243,14828,00:10:27.151,627.151,14877,00:10:29.265,629.265,50,00:00:02.115,2.115
244,14878,00:10:29.265,629.265,14970,00:10:33.199,633.199,93,00:00:03.934,3.934
245,14971,00:10:33.199,633.199,15029,00:10:35.695,635.695,59,00:00:02.496,2.496
246,15030,00:10:35.695,635.695,15176,00:10:41.912,641.912,147,00:00:06.218,6.218
247,15177,00:10:41.912,641.912,15288,00:10:46.650,646.650,112,00:00:04.737,4.737
248,15289,00:10:46.650,646.650,15432,00:10:52.741,652.741,144,00:00:06.091,6.091
249,15433,00:10:52.741,652.741,15531,00:10:56.928,656.928,99,00:00:04.187,4.187
250,15532,00:10:56.928,656.928,15670,00:11:02.808,662.808,139,00:00:05.879,5.879
251,15671,00:11:02.808,662.808,15681,00:11:03.273,663.273,11,00:00:00.465,0.465
252,15682,00:11:03.273,663.273,15784,00:11:07.630,667.630,103,00:00:04.357,4.357
253,15785,00:11:07.630,667.630,15936,00:11:14.059,674.059,152,00:00:06.429,6.429
254,15937,00:11:14.059,674.059,15978,00:11:15.835,675.835,42,00:00:01.777,1.777
255,15979,00:11:15.835,675.835,16101,00:11:21.038,681.038,123,00:00:05.203,5.203
256,16102,00:11:21.038,681.038,16261,00:11:27.806,687.806,160,00:00:06.768,6.768
257,16262,00:11:27.806,687.806,16310,00:11:29.878,689.878,49,00:00:02.073,2.073
258,16311,00:11:29.878,689.878,16476,00:11:36.900,696.900,166,00:00:07.021,7.021
259,16477,00:11:36.900,696.900,16508,00:11:38.253,698.253,32,00:00:01.354,1.354
260,16509,00:11:38.253,698.253,16569,00:11:40.833,700.833,61,00:00:02.580,2.580
261,16570,00:11:40.833,700.833,16625,00:11:43.202,703.202,56,00:00:02.369,2.369
262,16626,00:11:43.202,703.202,16758,00:11:48.828,708.828,133,00:00:05.626,5.626
263,16759,00:11:48.828,708.828,16835,00:11:52.085,712.085,77,00:00:03.257,3.257
264,16836,00:11:52.085,712.085,16868,00:11:53.480,713.480,33,00:00:01.396,1.396
265,16869,00:11:53.480,713.480,16887,00:11:54.284,714.284,19,00:00:00.804,0.804
266,16888,00:11:54.284,714.284,16893,00:11:54.538,714.538,6,00:00:00.254,0.254
267,16894,00:11:54.538,714.538,16982,00:11:58.302,718.302,89,00:00:03.765,3.765
268,16983,00:11:58.302,718.302,16997,00:11:58.937,718.937,15,00:00:00.634,0.634
269,16998,00:11:58.937,718.937,17271,00:12:10.527,730.527,274,00:00:11.590,11.590
270,17272,00:12:10.527,730.527,17447,00:12:17.971,737.971,176,00:00:07.444,7.444
271,17448,00:12:17.971,737.971,17573,00:12:23.300,743.300,126,00:00:05.330,5.330
272,17574,00:12:23.300,743.300,18021,00:12:42.250,762.250,448,00:00:18.949,18.949
273,18022,00:12:42.250,762.250,18075,00:12:44.534,764.534,54,00:00:02.284,2.284
274,18076,00:12:44.534,764.534,18081,00:12:44.788,764.788,6,00:00:00.254,0.254
275,18082,00:12:44.788,764.788,18092,00:12:45.253,765.253,11,00:00:00.465,0.465
276,18093,00:12:45.253,765.253,18183,00:12:49.102,769.102,91,00:00:03.849,3.849
277,18184,00:12:49.102,769.102,18211,00:12:50.287,770.287,28,00:00:01.184,1.184
278,18212,00:12:50.287,770.287,18288,00:12:53.543,773.543,77,00:00:03.257,3.257
279,18289,00:12:53.543,773.543,18334,00:12:55.489,775.489,46,00:00:01.946,1.946
280,18335,00:12:55.489,775.489,40662,00:28:39.916,1719.916,22328,00:15:44.427,944.427
